City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Fecamp,FR,49.7579,0.3746,65.44,78,100,9.35,overcast clouds
271,Saint Anthony,US,45.0205,-93.218,86.18,41,0,6.91,clear sky
272,Port Lincoln,AU,-34.7333,135.8667,53.2,80,71,17.54,broken clouds
273,Bowen,AU,-20.0167,148.2333,62.74,92,3,4.03,clear sky
274,Limon,CR,10.0,-83.0333,81.05,78,75,2.3,broken clouds
275,Zavodouspenskoye,RU,56.8626,65.0155,59.49,80,86,0.6,overcast clouds
276,Pondicherry,IN,11.93,79.83,79.52,77,93,17.45,overcast clouds
277,Neuquen,AR,-38.9516,-68.0591,51.69,50,0,5.75,clear sky
278,Peniche,PT,39.3558,-9.3811,68.29,90,88,19.19,overcast clouds
279,Sur,OM,22.5667,59.5289,85.23,69,100,12.44,overcast clouds
280,Najran,SA,17.4924,44.1277,70.68,76,97,13.27,overcast clouds
281,Waitati,NZ,-45.75,170.5667,54.14,62,100,7.58,overcast clouds
282,Ust-Nera,RU,64.5667,143.2,57.25,91,100,6.38,overcast clouds
283,Ngunguru,NZ,-35.6167,174.5,52.63,85,5,4.5,clear sky
284,Kodiak,US,57.79,-152.4072,60.31,72,20,5.75,few clouds
285,Mattru,SL,7.6244,-11.8332,72.95,97,96,2.55,light rain
286,Eskil,TR,38.4017,33.4131,83.03,27,33,12.33,scattered clouds
287,Hervey Bay,AU,-25.2986,152.8535,65.01,93,64,5.01,broken clouds
288,Souillac,MU,-20.5167,57.5167,70.18,73,20,12.66,light rain
289,Kinkala,CG,-4.3614,14.7644,76.21,52,7,5.17,clear sky
290,Samarai,PG,-10.6167,150.6667,79.02,86,44,11.61,scattered clouds
291,Rio Gallegos,AR,-51.6226,-69.2181,41.05,87,75,10.36,broken clouds
292,Mountmellick,IE,53.1136,-7.32,58.19,67,100,4.0,overcast clouds
293,Pemba,MZ,-12.974,40.5178,74.1,83,20,3.44,few clouds
294,Pocoes,BR,-14.5297,-40.3653,73.36,41,59,7.54,broken clouds
295,Tabat,ID,-2.635,115.2274,71.56,95,15,1.57,few clouds
296,Grindavik,IS,63.8424,-22.4338,52.27,76,0,14.97,clear sky
297,Valdosta,US,30.8327,-83.2785,96.69,54,20,9.22,few clouds
298,Yertsevo,RU,60.7966,40.086,61.18,74,52,3.42,broken clouds
299,Jinji,CN,23.2281,110.8261,77.68,93,100,1.72,overcast clouds
300,Hamilton,US,39.1834,-84.5333,83.52,80,75,5.75,thunderstorm
301,Rafaela,AR,-31.2503,-61.4867,66.99,27,4,7.0,clear sky
302,Negara,ID,-8.3151,114.6025,71.78,89,8,3.0,clear sky
303,Port Hedland,AU,-20.3167,118.5667,53.65,82,4,3.44,clear sky
304,Gangarampur,IN,25.4,88.5167,80.71,85,59,5.28,broken clouds
305,Guacui,BR,-20.7756,-41.6794,76.15,42,84,1.39,broken clouds
306,Bambanglipuro,ID,-7.95,110.2833,72.52,88,51,3.2,broken clouds
307,Alamos,MX,27.0167,-108.9333,96.85,36,0,6.29,clear sky
308,Kolyshley,RU,52.7005,44.5367,70.92,59,81,7.58,broken clouds
309,Cabedelo,BR,-6.9811,-34.8339,79.47,80,20,13.38,few clouds
310,North Bend,US,43.4065,-124.2243,79.25,85,0,23.02,clear sky
311,Bocana De Paiwas,NI,12.7857,-85.1227,72.09,95,100,7.07,overcast clouds
312,Sakakah,SA,29.9697,40.2064,96.31,28,62,5.37,broken clouds
313,Mocuba,MZ,-16.8392,36.9856,64.35,89,0,2.95,clear sky
314,Herat,AF,34.5,62.0,77.68,22,0,29.06,clear sky
315,Margate,GB,51.3813,1.3862,70.88,67,100,1.01,overcast clouds
316,Tupelo,US,34.2576,-88.7034,89.89,59,0,8.05,clear sky
317,Lompoc,US,34.6391,-120.4579,93.78,45,0,11.5,clear sky
318,Avera,US,33.194,-82.5271,96.31,45,63,6.76,broken clouds
319,Balkanabat,TM,39.5108,54.3671,93.22,22,0,9.93,clear sky
320,Sechura,PE,-5.5569,-80.8222,74.39,60,69,11.59,broken clouds
321,Opportunity,US,47.6499,-117.2399,80.29,34,0,16.11,clear sky
322,Hualmay,PE,-11.0964,-77.6139,66.81,69,45,11.27,scattered clouds
